ID,Title,Category,Version,Type,Difficulty,Level,TAP,HOLD,SLIDE,TOUCH,BREAK,Magnitude
42,Paradisus-Paradoxum,POPS＆アニメ,MURASAKi PLUS,STD,ADVANCED,8,188,27,9,0,10,319
43,Paradisus-Paradoxum,POPS＆アニメ,MURASAKi PLUS,STD,EXPERT,10+,254,27,33,0,6,437
44,Paradisus-Paradoxum,POPS＆アニメ,MURASAKi PLUS,STD,MASTER,13,381,16,113,0,12,812
45,名探偵連続殺人事件,niconico＆ボーカロイド,MURASAKi PLUS,STD,BASIC,5,187,9,8,0,4,249
46,名探偵連続殺人事件,niconico＆ボーカロイド,MURASAKi PLUS,STD,ADVANCED,6,256,33,16,0,17,455
47,名探偵連続殺人事件,niconico＆ボーカロイド,MURASAKi PLUS,STD,EXPERT,11,269,98,51,0,25,743
48,名探偵連続殺人事件,niconico＆ボーカロイド,MURASAKi PLUS,STD,MASTER,12,500,75,67,0,30,1001
49,あ・え・い・う・え・お・あお!!,POPS＆アニメ,MiLK,STD,BASIC,4,116,14,2,0,6,180
50,あ・え・い・う・え・お・あお!!,POPS＆アニメ,MiLK,STD,ADVANCED,8,193,40,17,0,13,389
51,あ・え・い・う・え・お・あお!!,POPS＆アニメ,MiLK,STD,EXPERT,10+,287,50,22,0,11,508
52,あ・え・い・う・え・お・あお!!,POPS＆アニメ,MiLK,STD,MASTER,12+,418,38,53,0,31,808
53,This game,POPS＆アニメ,MiLK,STD,BASIC,4,100,8,4,0,4,148
54,This game,POPS＆アニメ,MiLK,STD,ADVANCED,7,162,8,14,0,4,240
55,This game,POPS＆アニメ,MiLK,STD,EXPERT,11+,239,35,53,0,19,563
56,This game,POPS＆アニメ,MiLK,STD,MASTER,13,346,53,69,0,60,959
57,Los! Los! Los!,POPS＆アニメ,MiLK,STD,BASIC,4,89,10,6,0,2,137
58,Los! Los! Los!,POPS＆アニメ,MiLK,STD,ADVANCED,8,234,17,10,0,4,318
59,Los! Los! Los!,POPS＆アニメ,MiLK,STD,EXPERT,11,287,41,18,0,15,498
60,Los! Los! Los!,POPS＆アニメ,MiLK,STD,MASTER,12,353,50,60,0,10,683
61,ガヴリールドロップキック,POPS＆アニメ,MiLK,STD,BASIC,5,112,6,4,0,4,156
62,ガヴリールドロップキック,POPS＆アニメ,MiLK,STD,ADVANCED,7+,155,29,13,0,15,327
63,ガヴリールドロップキック,POPS＆アニメ,MiLK,STD,EXPERT,9+,250,40,11,0,11,418
64,ガヴリールドロップキック,POPS＆アニメ,MiLK,STD,MASTER,12+,293,54,71,0,29,759
65,アンチクロックワイズ,POPS＆アニメ,MiLK PLUS,STD,BASIC,6,140,10,7,0,2,191
66,アンチクロックワイズ,POPS＆アニメ,MiLK PLUS,STD,ADVANCED,8,221,9,15,0,2,294
67,アンチクロックワイズ,POPS＆アニメ,MiLK PLUS,STD,EXPERT,10,229,30,24,0,8,401
68,アンチクロックワイズ,POPS＆アニメ,MiLK PLUS,STD,MASTER,11+,293,13,68,0,13,588
69,アンチクロックワイズ,POPS＆アニメ,MiLK PLUS,STD,Re:MASTER,13,377,17,82,0,19,752
70,SHINY DAYS,POPS＆アニメ,FiNALE,STD,BASIC,3,86,7,2,0,3,121
71,SHINY DAYS,POPS＆アニメ,FiNALE,STD,ADVANCED,6,177,18,11,0,6,276
72,SHINY DAYS,POPS＆アニメ,FiNALE,STD,EXPERT,8+,176,17,17,0,5,286
73,SHINY DAYS,POPS＆アニメ,FiNALE,STD,MASTER,12+,287,10,59,0,3,499
74,only my railgun,POPS＆アニメ,FiNALE,STD,BASIC,4,138,10,2,0,4,184
75,only my railgun,POPS＆アニメ,FiNALE,STD,ADVANCED,7,220,19,7,0,6,309
76,only my railgun,POPS＆アニメ,FiNALE,STD,EXPERT,10,249,44,34,0,20,539
77,only my railgun,POPS＆アニメ,FiNALE,STD,MASTER,11,352,12,91,0,4,669
78,only my railgun,POPS＆アニメ,FiNALE,STD,Re:MASTER,12+,465,3,62,0,22,767
79,お気に召すまま,niconico＆ボーカロイド,FiNALE,STD,BASIC,4,197,7,8,0,3,250
80,お気に召すまま,niconico＆ボーカロイド,FiNALE,STD,ADVANCED,7+,356,23,9,0,5,454
81,お気に召すまま,niconico＆ボーカロイド,FiNALE,STD,EXPERT,10,386,69,32,0,10,670
82,お気に召すまま,niconico＆ボーカロイド,FiNALE,STD,MASTER,11,512,33,129,0,5,990
83,お気に召すまま,niconico＆ボーカロイド,FiNALE,STD,Re:MASTER,13,612,23,144,0,4,1110
84,徒花ネクロマンシー,POPS＆アニメ,maimaiでらっくす,DX,BASIC,3,73,17,2,6,2,129
85,徒花ネクロマンシー,POPS＆アニメ,maimaiでらっくす,DX,ADVANCED,7,181,12,8,12,5,266
86,徒花ネクロマンシー,POPS＆アニメ,maimaiでらっくす,DX,EXPERT,10,251,26,45,22,18,550
87,徒花ネクロマンシー,POPS＆アニメ,maimaiでらっくす,DX,MASTER,12,295,44,68,33,15,695
88,目覚めRETURNER,POPS＆アニメ,maimaiでらっくす,DX,BASIC,3,138,11,2,10,10,226
89,目覚めRETURNER,POPS＆アニメ,maimaiでらっくす,DX,ADVANCED,7,224,24,6,8,14,368
90,目覚めRETURNER,POPS＆アニメ,maimaiでらっくす,DX,EXPERT,9,264,50,16,21,12,493
91,目覚めRETURNER,POPS＆アニメ,maimaiでらっくす,DX,MASTER,11+,356,65,81,38,10,817
92,青空のラプソディ,POPS＆アニメ,maimaiでらっくす PLUS,DX,BASIC,2,55,9,2,11,3,105
93,青空のラプソディ,POPS＆アニメ,maimaiでらっくす PLUS,DX,ADVANCED,6,140,5,7,21,6,222
94,青空のラプソディ,POPS＆アニメ,maimaiでらっくす PLUS,DX,EXPERT,9+,245,47,22,16,6,451
95,青空のラプソディ,POPS＆アニメ,maimaiでらっくす PLUS,DX,MASTER,12,351,23,44,45,18,664
96,ラブ・ドラマティック feat. 伊原六花,POPS＆アニメ,maimaiでらっくす PLUS,DX,BASIC,3,51,18,4,10,3,124
97,ラブ・ドラマティック feat. 伊原六花,POPS＆アニメ,maimaiでらっくす PLUS,DX,ADVANCED,6,137,12,3,15,2,195
98,ラブ・ドラマティック feat. 伊原六花,POPS＆アニメ,maimaiでらっくす PLUS,DX,EXPERT,9,208,23,53,12,6,455
99,ラブ・ドラマティック feat. 伊原六花,POPS＆アニメ,maimaiでらっくす PLUS,DX,MASTER,11+,230,23,68,10,16,570
100,異世界かるてっと,POPS＆アニメ,maimaiでらっくす PLUS,DX,BASIC,3,63,8,3,11,11,154
101,異世界かるてっと,POPS＆アニメ,maimaiでらっくす PLUS,DX,ADVANCED,6,123,10,3,29,16,261
102,異世界かるてっと,POPS＆アニメ,maimaiでらっくす PLUS,DX,EXPERT,9+,292,25,22,9,7,452
103,異世界かるてっと,POPS＆アニメ,maimaiでらっくす PLUS,DX,MASTER,12,306,32,73,32,19,716
104,いつかいい感じにアレしよう,POPS＆アニメ,maimaiでらっくす PLUS,DX,BASIC,4,113,17,9,12,3,201
105,いつかいい感じにアレしよう,POPS＆アニメ,maimaiでらっくす PLUS,DX,ADVANCED,6,205,12,22,20,10,365
106,いつかいい感じにアレしよう,POPS＆アニメ,maimaiでらっくす PLUS,DX,EXPERT,9+,351,78,26,9,17,679
107,いつかいい感じにアレしよう,POPS＆アニメ,maimaiでらっくす PLUS,DX,MASTER,12+,451,122,43,143,10,1017
108,オトモダチフィルム,POPS＆アニメ,maimaiでらっくす PLUS,DX,BASIC,4,81,7,2,10,2,121
109,オトモダチフィルム,POPS＆アニメ,maimaiでらっくす PLUS,DX,ADVANCED,7,155,16,6,11,14,286
110,オトモダチフィルム,POPS＆アニメ,maimaiでらっくす PLUS,DX,EXPERT,9+,268,14,12,11,18,433
111,オトモダチフィルム,POPS＆アニメ,maimaiでらっくす PLUS,DX,MASTER,11+,231,34,20,88,4,467
112,六厘歌,POPS＆アニメ,maimaiでらっくす PLUS,DX,BASIC,3,96,14,4,10,8,186
113,六厘歌,POPS＆アニメ,maimaiでらっくす PLUS,DX,ADVANCED,6,209,6,8,13,6,288
114,六厘歌,POPS＆アニメ,maimaiでらっくす PLUS,DX,EXPERT,8+,244,24,32,87,6,505
115,六厘歌,POPS＆アニメ,maimaiでらっくす PLUS,DX,MASTER,12,96,75,154,16,130,1374
116,馬と鹿,POPS＆アニメ,maimaiでらっくす PLUS,DX,BASIC,1,43,5,2,8,2,77
117,馬と鹿,POPS＆アニメ,maimaiでらっくす PLUS,DX,ADVANCED,5,81,17,3,10,4,154
118,馬と鹿,POPS＆アニメ,maimaiでらっくす PLUS,DX,EXPERT,8,122,40,14,16,4,280
119,馬と鹿,POPS＆アニメ,maimaiでらっくす PLUS,DX,MASTER,12,181,15,40,20,19,446
120,ノーポイッ!,POPS＆アニメ,Splash,DX,BASIC,2,69,6,2,7,1,99
121,ノーポイッ!,POPS＆アニメ,Splash,DX,ADVANCED,6,149,17,5,15,2,223
122,ノーポイッ!,POPS＆アニメ,Splash,DX,EXPERT,8+,232,34,17,47,16,478
123,ノーポイッ!,POPS＆アニメ,Splash,DX,MASTER,12,329,38,66,23,28,766
124,町かどタンジェント,POPS＆アニメ,Splash,DX,BASIC,3,59,10,1,9,2,101
125,町かどタンジェント,POPS＆アニメ,Splash,DX,ADVANCED,6,173,16,6,16,4,259
126,町かどタンジェント,POPS＆アニメ,Splash,DX,EXPERT,8+,263,21,20,20,15,460
127,町かどタンジェント,POPS＆アニメ,Splash,DX,MASTER,11+,295,16,56,17,15,587
128,紅蓮華,POPS＆アニメ,Splash,DX,BASIC,3,126,10,5,9,12,230
129,紅蓮華,POPS＆アニメ,Splash,DX,ADVANCED,6,159,28,18,10,5,304
130,紅蓮華,POPS＆アニメ,Splash,DX,EXPERT,9,349,42,25,48,12,616
131,紅蓮華,POPS＆アニメ,Splash,DX,MASTER,11,361,84,53,36,26,854
132,紅蓮華,POPS＆アニメ,Splash,DX,Re:MASTER,13,430,112,99,43,23,1109
133,MIRACLE RUSH,POPS＆アニメ,Splash,DX,BASIC,3,82,13,1,9,2,130
134,MIRACLE RUSH,POPS＆アニメ,Splash,DX,ADVANCED,6,158,14,9,8,2,231
135,MIRACLE RUSH,POPS＆アニメ,Splash,DX,EXPERT,9,233,45,24,18,20,513
136,MIRACLE RUSH,POPS＆アニメ,Splash,DX,MASTER,12,339,26,58,42,29,752
137,Pretender,POPS＆アニメ,Splash,DX,BASIC,2,91,10,5,8,6,164
138,Pretender,POPS＆アニメ,Splash,DX,ADVANCED,5,166,29,7,13,4,278
139,Pretender,POPS＆アニメ,Splash,DX,EXPERT,9,321,37,15,5,21,550
140,Pretender,POPS＆アニメ,Splash,DX,MASTER,12+,404,34,52,5,7,668
141,インフェルノ,POPS＆アニメ,Splash PLUS,DX,BASIC,2,77,3,2,3,4,112
142,インフェルノ,POPS＆アニメ,Splash PLUS,DX,ADVANCED,7,176,22,8,10,3,269
143,インフェルノ,POPS＆アニメ,Splash PLUS,DX,EXPERT,9+,219,38,54,18,28,615
144,インフェルノ,POPS＆アニメ,Splash PLUS,DX,MASTER,11+,278,34,85,13,32,774
145,インフェルノ,POPS＆アニメ,Splash PLUS,DX,Re:MASTER,13,348,16,80,35,8,695
146,冬のこもりうた,POPS＆アニメ,Splash PLUS,DX,BASIC,1,50,5,4,5,1,82
147,冬のこもりうた,POPS＆アニメ,Splash PLUS,DX,ADVANCED,5,62,20,10,30,2,172
148,冬のこもりうた,POPS＆アニメ,Splash PLUS,DX,EXPERT,7+,92,55,25,24,1,306
149,冬のこもりうた,POPS＆アニメ,Splash PLUS,DX,MASTER,10+,162,21,38,29,2,357
150,冬のこもりうた,POPS＆アニメ,Splash PLUS,DX,Re:MASTER,13,237,35,62,51,3,559
151,God knows...,POPS＆アニメ,Splash PLUS,DX,BASIC,3,155,9,8,8,4,225
152,God knows...,POPS＆アニメ,Splash PLUS,DX,ADVANCED,6,243,24,11,15,7,374
153,God knows...,POPS＆アニメ,Splash PLUS,DX,EXPERT,9+,296,84,63,26,17,764
154,God knows...,POPS＆アニメ,Splash PLUS,DX,MASTER,11+,511,47,90,42,29,1062
155,God knows...,POPS＆アニメ,Splash PLUS,DX,Re:MASTER,13,582,86,87,39,37,1239
156,秒針を噛む,POPS＆アニメ,Splash PLUS,DX,BASIC,3,124,7,5,11,2,174
157,秒針を噛む,POPS＆アニメ,Splash PLUS,DX,ADVANCED,6,250,16,13,15,6,366
158,秒針を噛む,POPS＆アニメ,Splash PLUS,DX,EXPERT,8+,322,27,42,21,14,593
159,秒針を噛む,POPS＆アニメ,Splash PLUS,DX,MASTER,11,476,54,73,18,20,921
160,秒針を噛む,POPS＆アニメ,Splash PLUS,DX,Re:MASTER,12+,556,49,101,59,13,1081
161,乙女のルートはひとつじゃない！,POPS＆アニメ,Splash PLUS,DX,BASIC,3,68,9,2,4,2,106
162,乙女のルートはひとつじゃない！,POPS＆アニメ,Splash PLUS,DX,ADVANCED,6,166,26,16,9,5,300
163,乙女のルートはひとつじゃない！,POPS＆アニメ,Splash PLUS,DX,EXPERT,9+,217,17,46,22,24,531
164,乙女のルートはひとつじゃない！,POPS＆アニメ,Splash PLUS,DX,MASTER,12,341,35,91,13,27,832
165,ビックカメラのテーマソング,POPS＆アニメ,Splash PLUS,DX,BASIC,3,90,6,3,17,18,218
166,ビックカメラのテーマソング,POPS＆アニメ,Splash PLUS,DX,ADVANCED,6,224,25,11,28,22,445
167,ビックカメラのテーマソング,POPS＆アニメ,Splash PLUS,DX,EXPERT,8,223,68,18,26,22,549
168,ビックカメラのテーマソング,POPS＆アニメ,Splash PLUS,DX,MASTER,12+,248,92,79,176,82,1255
169,Shiny Smily Story,POPS＆アニメ,Splash PLUS,DX,BASIC,2,65,7,4,7,2,108
170,Shiny Smily Story,POPS＆アニメ,Splash PLUS,DX,ADVANCED,7,150,21,16,12,4,272
171,Shiny Smily Story,POPS＆アニメ,Splash PLUS,DX,EXPERT,10,318,19,36,25,10,539
172,Shiny Smily Story,POPS＆アニメ,Splash PLUS,DX,MASTER,12,327,36,64,51,21,747
173,夜に駆ける,POPS＆アニメ,UNiVERSE,DX,BASIC,2,95,6,8,9,2,150
174,夜に駆ける,POPS＆アニメ,UNiVERSE,DX,ADVANCED,6,280,15,15,8,5,388
175,夜に駆ける,POPS＆アニメ,UNiVERSE,DX,EXPERT,8,303,62,36,43,20,678
176,夜に駆ける,POPS＆アニメ,UNiVERSE,DX,MASTER,11,512,51,88,20,13,963
177,夜に駆ける,POPS＆アニメ,UNiVERSE,DX,Re:MASTER,13,632,61,87,27,17,1127
178,うっせぇわ,POPS＆アニメ,UNiVERSE,DX,BASIC,3,89,17,4,17,6,182
179,うっせぇわ,POPS＆アニメ,UNiVERSE,DX,ADVANCED,7,272,28,19,6,17,476
180,うっせぇわ,POPS＆アニメ,UNiVERSE,DX,EXPERT,9+,320,56,40,68,26,750
181,うっせぇわ,POPS＆アニメ,UNiVERSE,DX,MASTER,11+,537,40,115,36,19,1093
182,うっせぇわ,POPS＆アニメ,UNiVERSE,DX,Re:MASTER,13,438,60,115,102,76,1385
183,Shooting Stars,POPS＆アニメ,UNiVERSE,DX,BASIC,2,69,12,4,8,2,123
184,Shooting Stars,POPS＆アニメ,UNiVERSE,DX,ADVANCED,6,205,21,22,7,8,360
185,Shooting Stars,POPS＆アニメ,UNiVERSE,DX,EXPERT,8,216,59,37,18,6,493
186,Shooting Stars,POPS＆アニメ,UNiVERSE,DX,MASTER,12,481,49,81,5,26,957
187,MOON NIGHTのせいにして,POPS＆アニメ,UNiVERSE,DX,BASIC,2,76,9,3,8,1,116
188,MOON NIGHTのせいにして,POPS＆アニメ,UNiVERSE,DX,ADVANCED,6,211,16,6,21,14,352
189,MOON NIGHTのせいにして,POPS＆アニメ,UNiVERSE,DX,EXPERT,8,242,53,25,14,12,497
190,MOON NIGHTのせいにして,POPS＆アニメ,UNiVERSE,DX,MASTER,12,406,47,95,14,6,829
191,泥の分際で私だけの大切を奪おうだなんて,POPS＆アニメ,UNiVERSE,DX,BASIC,2,101,7,2,6,5,152
192,泥の分際で私だけの大切を奪おうだなんて,POPS＆アニメ,UNiVERSE,DX,ADVANCED,7+,279,37,19,13,7,458
193,泥の分際で私だけの大切を奪おうだなんて,POPS＆アニメ,UNiVERSE,DX,EXPERT,10+,482,32,36,3,37,842
194,泥の分際で私だけの大切を奪おうだなんて,POPS＆アニメ,UNiVERSE,DX,MASTER,13+,522,76,137,52,37,1322
195,VOLTAGE,POPS＆アニメ,UNiVERSE,DX,BASIC,4,196,6,4,7,2,237
196,VOLTAGE,POPS＆アニメ,UNiVERSE,DX,ADVANCED,7,370,18,11,13,2,462
197,VOLTAGE,POPS＆アニメ,UNiVERSE,DX,EXPERT,11,481,72,42,31,19,877
198,VOLTAGE,POPS＆アニメ,UNiVERSE,DX,MASTER,13,573,70,161,23,15,1294
199,Seize The Day,POPS＆アニメ,UNiVERSE,DX,BASIC,1,30,5,2,5,1,56
200,Seize The Day,POPS＆アニメ,UNiVERSE,DX,ADVANCED,6,112,10,10,26,6,218
201,Seize The Day,POPS＆アニメ,UNiVERSE,DX,EXPERT,8,185,24,12,13,4,302
202,Seize The Day,POPS＆アニメ,UNiVERSE,DX,MASTER,11+,247,40,38,37,15,553
203,veil,POPS＆アニメ,UNiVERSE,DX,BASIC,2,98,2,5,20,2,147
204,veil,POPS＆アニメ,UNiVERSE,DX,ADVANCED,6,186,20,13,21,8,326
205,veil,POPS＆アニメ,UNiVERSE,DX,EXPERT,8+,262,35,24,30,13,499
206,veil,POPS＆アニメ,UNiVERSE,DX,MASTER,12+,352,66,116,22,20,954
207,さんさーら！,ゲーム＆バラエティ,UNiVERSE,DX,BASIC,3,120,13,4,8,3,181
208,さんさーら！,ゲーム＆バラエティ,UNiVERSE,DX,ADVANCED,6,269,16,15,20,4,386
209,さんさーら！,ゲーム＆バラエティ,UNiVERSE,DX,EXPERT,8+,286,107,15,9,13,619
210,さんさーら！,ゲーム＆バラエティ,UNiVERSE,DX,MASTER,12+,519,47,107,52,68,1326
211,テリトリーバトル,オンゲキ＆CHUNITHM,UNiVERSE PLUS,DX,BASIC,4,170,5,3,16,15,280
212,テリトリーバトル,オンゲキ＆CHUNITHM,UNiVERSE PLUS,DX,ADVANCED,6,258,21,16,11,10,409
213,テリトリーバトル,オンゲキ＆CHUNITHM,UNiVERSE PLUS,DX,EXPERT,10,427,50,43,10,12,726
214,テリトリーバトル,オンゲキ＆CHUNITHM,UNiVERSE PLUS,DX,MASTER,13+,671,36,98,37,26,1204
215,愛のシュプリーム！,POPS＆アニメ,UNiVERSE PLUS,DX,BASIC,1,50,5,3,6,1,80
216,愛のシュプリーム！,POPS＆アニメ,UNiVERSE PLUS,DX,ADVANCED,6,158,20,4,9,4,239
217,愛のシュプリーム！,POPS＆アニメ,UNiVERSE PLUS,DX,EXPERT,8,227,56,8,28,5,416
218,愛のシュプリーム！,POPS＆アニメ,UNiVERSE PLUS,DX,MASTER,12+,372,18,63,45,35,817
219,くらべられっ子,POPS＆アニメ,UNiVERSE PLUS,DX,BASIC,2,81,18,3,6,2,142
220,くらべられっ子,POPS＆アニメ,UNiVERSE PLUS,DX,ADVANCED,7,241,27,20,16,3,386
221,くらべられっ子,POPS＆アニメ,UNiVERSE PLUS,DX,EXPERT,9+,269,53,20,16,21,556
222,くらべられっ子,POPS＆アニメ,UNiVERSE PLUS,DX,MASTER,11,376,43,85,12,11,784
223,くらべられっ子,POPS＆アニメ,UNiVERSE PLUS,DX,Re:MASTER,13,416,64,116,17,15,984
224,あの世行きのバスに乗ってさらば。,POPS＆アニメ,UNiVERSE PLUS,DX,BASIC,3,84,16,7,8,5,170
225,あの世行きのバスに乗ってさらば。,POPS＆アニメ,UNiVERSE PLUS,DX,ADVANCED,7+,240,37,12,32,11,437
226,あの世行きのバスに乗ってさらば。,POPS＆アニメ,UNiVERSE PLUS,DX,EXPERT,11+,380,41,24,13,28,687
227,あの世行きのバスに乗ってさらば。,POPS＆アニメ,UNiVERSE PLUS,DX,MASTER,13,462,63,71,38,64,1159
228,うまぴょい伝説,POPS＆アニメ,UNiVERSE PLUS,DX,BASIC,5,167,14,3,24,16,308
229,うまぴょい伝説,POPS＆アニメ,UNiVERSE PLUS,DX,ADVANCED,6,230,17,19,9,13,395
230,うまぴょい伝説,POPS＆アニメ,UNiVERSE PLUS,DX,EXPERT,9+,292,85,15,35,21,647
231,うまぴょい伝説,POPS＆アニメ,UNiVERSE PLUS,DX,MASTER,11,353,65,61,35,46,931
232,うまぴょい伝説,POPS＆アニメ,UNiVERSE PLUS,DX,Re:MASTER,13,515,58,138,26,93,1536
233,YONA YONA DANCE,POPS＆アニメ,UNiVERSE PLUS,DX,BASIC,1,72,8,7,8,3,132
234,YONA YONA DANCE,POPS＆アニメ,UNiVERSE PLUS,DX,ADVANCED,6,260,26,9,11,12,410
235,YONA YONA DANCE,POPS＆アニメ,UNiVERSE PLUS,DX,EXPERT,9,280,93,23,96,12,691
236,YONA YONA DANCE,POPS＆アニメ,UNiVERSE PLUS,DX,MASTER,12,404,67,116,53,27,1074
237,Photon Melodies,POPS＆アニメ,UNiVERSE PLUS,DX,BASIC,3,106,8,3,0,3,146
238,Photon Melodies,POPS＆アニメ,UNiVERSE PLUS,DX,ADVANCED,6,116,16,14,27,10,267
239,Photon Melodies,POPS＆アニメ,UNiVERSE PLUS,DX,EXPERT,10,222,86,23,18,12,541
240,Photon Melodies,POPS＆アニメ,UNiVERSE PLUS,DX,MASTER,13,359,26,121,54,15,903
241,吾輩よ猫であれ,POPS＆アニメ,UNiVERSE PLUS,DX,BASIC,3,103,7,3,7,1,138
242,吾輩よ猫であれ,POPS＆アニメ,UNiVERSE PLUS,DX,ADVANCED,6,169,23,10,25,4,290
243,吾輩よ猫であれ,POPS＆アニメ,UNiVERSE PLUS,DX,EXPERT,8+,223,72,22,25,6,488
244,吾輩よ猫であれ,POPS＆アニメ,UNiVERSE PLUS,DX,MASTER,12,377,56,90,27,8,826
245,PON PON PON,POPS＆アニメ,maimai,STD,BASIC,4,213,1,3,0,3,239
246,PON PON PON,POPS＆アニメ,maimai,STD,ADVANCED,7,257,6,9,0,4,316
247,PON PON PON,POPS＆アニメ,maimai,STD,EXPERT,8,309,13,8,0,10,409
248,PON PON PON,POPS＆アニメ,maimai,STD,MASTER,9,343,27,21,0,20,560
249,Choo Choo TRAIN,POPS＆アニメ,GreeN,STD,BASIC,4,107,18,12,0,3,194
250,Choo Choo TRAIN,POPS＆アニメ,GreeN,STD,ADVANCED,5,145,17,6,0,4,217
251,Choo Choo TRAIN,POPS＆アニメ,GreeN,STD,EXPERT,8,277,33,38,0,10,507
252,Choo Choo TRAIN,POPS＆アニメ,GreeN,STD,MASTER,10,270,57,66,0,44,802
253,VICTORY,POPS＆アニメ,GreeN PLUS,STD,BASIC,4,53,7,10,0,3,112
254,VICTORY,POPS＆アニメ,GreeN PLUS,STD,ADVANCED,6,225,9,8,0,4,287
255,VICTORY,POPS＆アニメ,GreeN PLUS,STD,EXPERT,7,142,60,15,0,6,337
256,VICTORY,POPS＆アニメ,GreeN PLUS,STD,MASTER,9,254,34,30,0,20,512
257,ヘビーローテーション,POPS＆アニメ,maimai,STD,BASIC,3,132,14,5,0,3,190
